ID	File	Case	Function	NounType	Gender	Number	Animacy	ReferenceToPersons
507	TOR_C_0062_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
527	TOR_C_0003_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
529	TOR_C_0003_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
531	TOR_C_0048_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
538	TOR_C_00020_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
547	TOR_C_0069_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
548	TOR_C_0001_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
549	TOR_C_0069_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
562	TOR_C_0006_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
563	TOR_C_0006_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
564	TOR_C_00030_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
565	TOR_C_0040_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
566	TOR_C_00028_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
567	TOR_C_00028_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
568	TOR_C_0040_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
571	TOR_C_00023_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
578	TOR_C_0046_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
580	TOR_C_0052_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
581	TOR_C_0056_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
585	TOR_C_00028_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
587	TOR_C_0048_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
588	TOR_C_0048_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
591	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
592	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
593	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
594	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
595	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
596	TOR_C_0002_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
694	TOR_C_0059_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
695	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
